hour,mae,observations
0,53169.6874345857,141
1,47547.30780790993,143
2,52108.285960143185,145
3,49126.23736605093,145
4,45940.16118735883,145
5,52631.881967629706,145
6,46355.32946490012,145
7,50252.27993666815,145
8,55110.97586907967,145
9,52977.29281096084,145
10,54602.83769875651,145
11,61693.87062444625,145
12,64483.36252725272,145
13,66515.22552028806,145
14,64700.44356471572,145
15,57092.44080867994,145
16,51833.23986629915,145
17,54944.2764905415,145
18,65478.78705504364,145
19,62878.495522536636,145
20,58064.35951647116,145
21,55734.739762237776,145
22,54861.21889635199,145
23,51513.46693574563,145
