total,bt,mt,at,mat,hour,dayofweek,month,total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168
1.0,0.9014547560999767,0.7441404493319722,0.41806694974587055,-0.39866643484006786,0.683510503205671,-0.26307456920354483,-0.16659828476171293,0.9882327100915501,0.027187144234952478,-0.19205314816263663,0.673577844948962,0.22846330132456422
0.9014547560999767,1.0,0.3880030404152323,0.16206837187100953,-0.490138572892156,0.7728334136570775,-0.04880826849529908,-0.1896388383461225,0.9023670179438626,-0.010837604156969681,-0.31012872448324247,0.6241378188220961,0.09477519440139137
0.7441404493319722,0.3880030404152323,1.0,0.5693567739377471,-0.1800355994939234,0.2711303062889499,-0.49848896287023287,-0.08832765599085714,0.7204850226103835,0.05590366965888219,0.0847276813535026,0.4614138138820856,0.30339208356776165
0.41806694974587055,0.16206837187100953,0.5693567739377471,1.0,-0.12640383570132518,0.11997685242585687,-0.3533666859475844,0.04969857693421275,0.38969803626111976,0.359301306932183,-0.198899636746455,0.38638498300374335,0.456032152070537
-0.39866643484006786,-0.490138572892156,-0.1800355994939234,-0.12640383570132518,1.0,-0.3887447429048348,0.14757461862758303,0.20090633632190796,-0.40981088119672593,-0.1743134117173273,0.3264593859282402,-0.3029706539667155,0.003893824296164877
0.683510503205671,0.7728334136570775,0.2711303062889499,0.11997685242585687,-0.3887447429048348,1.0,-0.001044062713609399,-0.0008449670001160629,0.6910937275559774,-0.0793955231107555,-0.2760218432194443,0.4661408552148252,-0.07960222894693045
-0.26307456920354483,-0.04880826849529908,-0.49848896287023287,-0.3533666859475844,0.14757461862758303,-0.001044062713609399,1.0,0.014205913015251821,-0.2610226844351941,-0.1889393200466984,0.2886742256332496,-0.26796824123164525,0.07209904954763575
-0.16659828476171293,-0.1896388383461225,-0.08832765599085714,0.04969857693421275,0.20090633632190796,-0.0008449670001160629,0.014205913015251821,1.0,-0.1664779500233209,-0.15978577003572628,-0.1225836141490236,-0.18792642626753978,-0.29760272771017215
0.9882327100915501,0.9023670179438626,0.7204850226103835,0.38969803626111976,-0.40981088119672593,0.6910937275559774,-0.2610226844351941,-0.1664779500233209,1.0,0.060200965566788826,-0.21971632737456143,0.718237599353473,0.24435714890127708
0.027187144234952478,-0.010837604156969681,0.05590366965888219,0.359301306932183,-0.1743134117173273,-0.0793955231107555,-0.1889393200466984,-0.15978577003572628,0.060200965566788826,1.0,-0.24125969864280838,0.6264796399297651,0.4900820638405976
-0.19205314816263663,-0.31012872448324247,0.0847276813535026,-0.198899636746455,0.3264593859282402,-0.2760218432194443,0.2886742256332496,-0.1225836141490236,-0.21971632737456143,-0.24125969864280838,1.0,-0.33031077987899754,0.1764543482126948
0.673577844948962,0.6241378188220961,0.4614138138820856,0.38638498300374335,-0.3029706539667155,0.4661408552148252,-0.26796824123164525,-0.18792642626753978,0.718237599353473,0.6264796399297651,-0.33031077987899754,1.0,0.44674446791245265
0.22846330132456422,0.09477519440139137,0.30339208356776165,0.456032152070537,0.003893824296164877,-0.07960222894693045,0.07209904954763575,-0.29760272771017215,0.24435714890127708,0.4900820638405976,0.1764543482126948,0.44674446791245265,1.0
