dataset,column,count,mean,std,min,25%,50%,75%,max
gold_consumption,total,8644.0,1630135.3303471145,300229.25894809305,0.0,1354077.2302675,1644485.346464,1873121.86768725,2346514.212932
gold_consumption,bt,8644.0,893310.6142342848,225925.43215566868,0.0,691852.510054,895456.11346,1027357.75226825,1539777.404128
gold_consumption,mt,8644.0,455531.51669388014,128602.18252452905,0.0,344641.46395,427295.91394999996,567332.4820249999,723896.5346
gold_consumption,at,8644.0,202616.1238893568,17758.260922419246,0.0,193194.77637500002,205018.8613,214975.55627499998,241643.6621
gold_consumption,mat,8644.0,78677.07552959278,16441.123920320904,0.0,69168.9545,83816.73495,91451.3892,107461.6997
gold_consumption,hour,8644.0,11.49514113836187,6.924668587659593,0.0,5.0,11.0,17.0,23.0
gold_consumption,dayofweek,8644.0,3.023600185099491,2.000554868137352,0.0,1.0,3.0,5.0,6.0
gold_consumption,month,8644.0,2.000462748727441,0.8301279193536771,1.0,1.0,2.0,3.0,3.0
gold_consumption,total_lag_1,8643.0,1630172.3274102316,300226.922478746,0.0,1354135.2674485,1644502.450036,1873122.0386535,2346514.212932
gold_consumption,total_lag_24,8620.0,1630233.8132686866,300526.88498612464,0.0,1353764.1863535,1644615.357165,1873751.1159440002,2346514.212932
gold_consumption,total_lag_168,8476.0,1635984.2724579247,298844.7870815503,0.0,1358303.44826475,1653020.819882,1876990.47283775,2346514.212932
gold_consumption,total_rollmean_24,8644.0,1629912.065621115,258624.12954120676,915743.4875210417,1406560.3976482085,1637770.217487,1844421.4732557188,2203073.349953458
gold_consumption,total_rollmean_168,8644.0,1628692.6268447626,133106.9215772665,1175791.4466060488,1542706.881446921,1649589.724380366,1729063.9428745117,1896033.789009857
gold_injection,total_injection,8644.0,1255467.5734113837,634636.6886647037,0.0,727286.5904999999,1113577.5180000002,1716267.3225,2854002.806
gold_injection,cogeracao,8644.0,66246.01044076816,7158.258642395838,0.0,61965.6875,65226.25,70724.125,89787.25
gold_injection,eolica,8644.0,469875.8152491902,321814.685993608,0.0,199153.77925,403941.9115,704434.875,1232237.5
gold_injection,fotovoltaica,8644.0,6454.535544886627,10074.664925869105,0.0,1.5,140.0,10877.75,39730.75
gold_injection,hidrica,8644.0,38556.68267006016,9617.323084089709,0.0,33159.375,41532.0,45431.3125,53443.0
gold_injection,outras_tecnologias,8644.0,46600.74280078667,9111.08437893332,0.0,39611.16374999998,43975.111000000004,52687.59025000001,82448.147
gold_injection,rede_dist,8644.0,627733.7867056918,317318.3443323519,0.0,363643.29524999997,556788.7590000001,858133.66125,1427001.403
gold_injection,hour,8644.0,11.49514113836187,6.924668587659593,0.0,5.0,11.0,17.0,23.0
gold_injection,dayofweek,8644.0,3.023600185099491,2.000554868137352,0.0,1.0,3.0,5.0,6.0
gold_injection,month,8644.0,2.000462748727441,0.8301279193536771,1.0,1.0,2.0,3.0,3.0
gold_injection,total_injection_lag_1,8643.0,1255554.0984750667,634622.4156455518,0.0,727344.7370000001,1113579.32,1716374.205,2854002.806
gold_injection,total_injection_lag_24,8620.0,1257186.6040183294,634670.3746130249,0.0,728606.8840000001,1116048.959,1717655.71,2854002.806
gold_injection,total_injection_lag_168,8476.0,1250949.4504327513,635597.1897592327,0.0,723839.277,1106396.27,1701907.8175,2854002.806
gold_injection,total_injection_rollmean_24,8644.0,1255933.588100003,619931.926159484,297083.5030833333,737224.8018958333,1117071.0448750001,1691483.3700624998,2826535.076416666
gold_injection,total_injection_rollmean_168,8644.0,1251197.8482716926,488028.0891249432,472712.40828571434,888108.1159970239,1147707.2830833332,1548041.331044643,2483325.990464286
gold_weather_hourly,station_id,5328.0,2879106.8513513515,2915825.4303111145,1200501.0,1210643.0,1210825.0,6211212.0,11217730.0
gold_weather_hourly,temperatura,4283.0,22.86773289750175,4.694824599611763,6.6,19.6,21.9,25.5,38.1
gold_weather_hourly,radiacao,2878.0,722.8074009728979,929.9281742088863,0.0,0.0,220.55,1306.15,4242.6
gold_weather_hourly,precacumulada,4103.0,0.008774067755300999,0.09763679293768214,0.0,0.0,0.0,0.0,3.9
gold_weather_hourly,intensidadeventokm,4042.0,7.974616526472043,5.297490818485824,0.0,4.0,6.8,10.8,34.6
gold_weather_hourly,humidade,4273.0,73.7851626491926,19.253354560282748,17.0,61.0,77.0,90.0,100.0
gold_weather_hourly,pressao,1851.0,1017.6284170718532,4.0899431874743515,1010.8,1014.9,1016.6,1018.1,1028.3
gold_weather_hourly,hdd_18,4283.0,0.18599112771421902,0.88075053283489,0.0,0.0,0.0,0.0,11.4
gold_weather_hourly,cdd_22,4283.0,2.2363997198225545,3.447817960448104,0.0,0.0,0.0,3.5,16.1
silver_production,dia,8644.0,15.526608051827857,8.715772912378474,1.0,8.0,15.0,23.0,31.0
silver_production,mes,8644.0,2.000925497454882,0.8309633727248016,1.0,1.0,2.0,3.0,4.0
silver_production,ano,8644.0,2025.0,0.0,2025.0,2025.0,2025.0,2025.0,2025.0
silver_production,dgm,8644.0,1002401.5441925034,424207.78696492704,-162482.0,696650.75,1025515.5,1325899.0,2088333.0
silver_production,pre,8644.0,627733.7867056918,317318.3443323519,0.0,363643.29524999997,556788.7590000001,858133.66125,1427001.403
silver_production,total,8644.0,1630135.3308981953,300229.2596473211,0.0,1354077.2385,1644485.345,1873121.88575,2346514.179
