feature,gold_consumption,gold_injection,gold_weather_hourly,silver_production
total_lag_1,True,False,False,False
total_lag_24,True,False,False,False
total_lag_168,True,False,False,False
total_rollmean_24,True,False,False,False
total_rollmean_168,True,False,False,False
hour,True,True,False,False
dayofweek,True,True,False,False
month,True,True,False,False
is_weekend,True,True,False,False
total_injection_lag_1,False,True,False,False
total_injection_lag_24,False,True,False,False
total_injection_lag_168,False,True,False,False
total_injection_rollmean_24,False,True,False,False
total_injection_rollmean_168,False,True,False,False
cogeracao,False,True,False,False
eolica,False,True,False,False
fotovoltaica,False,True,False,False
hidrica,False,True,False,False
outras_tecnologias,False,True,False,False
rede_dist,False,True,False,False
temperatura,False,False,True,False
radiacao,False,False,True,False
intensidadeventokm,False,False,True,False
precacumulada,False,False,True,False
humidade,False,False,True,False
pressao,False,False,True,False
hdd_18,False,False,True,False
cdd_22,False,False,True,False
heavy_rain_flag,False,False,True,False
strong_wind_flag,False,False,True,False
