dataset,column,missing_count,missing_pct
gold_consumption,datetime,0,0.0
gold_consumption,total,0,0.0
gold_consumption,bt,0,0.0
gold_consumption,mt,0,0.0
gold_consumption,at,0,0.0
gold_consumption,mat,0,0.0
gold_consumption,hour,0,0.0
gold_consumption,dayofweek,0,0.0
gold_consumption,month,0,0.0
gold_consumption,is_weekend,0,0.0
gold_consumption,total_lag_1,1,0.01156871818602499
gold_consumption,total_lag_24,24,0.2776492364645997
gold_consumption,total_lag_168,168,1.9435446552521982
gold_consumption,total_rollmean_24,0,0.0
gold_consumption,total_rollmean_168,0,0.0
gold_injection,datetime,0,0.0
gold_injection,total_injection,0,0.0
gold_injection,cogeracao,0,0.0
gold_injection,eolica,0,0.0
gold_injection,fotovoltaica,0,0.0
gold_injection,hidrica,0,0.0
gold_injection,outras_tecnologias,0,0.0
gold_injection,rede_dist,0,0.0
gold_injection,hour,0,0.0
gold_injection,dayofweek,0,0.0
gold_injection,month,0,0.0
gold_injection,is_weekend,0,0.0
gold_injection,total_injection_lag_1,1,0.01156871818602499
gold_injection,total_injection_lag_24,24,0.2776492364645997
gold_injection,total_injection_lag_168,168,1.9435446552521982
gold_injection,total_injection_rollmean_24,0,0.0
gold_injection,total_injection_rollmean_168,0,0.0
gold_weather_hourly,datetime,0,0.0
gold_weather_hourly,station_id,0,0.0
gold_weather_hourly,temperatura,1045,19.613363363363366
gold_weather_hourly,radiacao,2450,45.98348348348348
gold_weather_hourly,precacumulada,1225,22.99174174174174
gold_weather_hourly,intensidadeventokm,1286,24.136636636636634
gold_weather_hourly,humidade,1055,19.80105105105105
gold_weather_hourly,pressao,3477,65.259009009009
gold_weather_hourly,hdd_18,1045,19.613363363363366
gold_weather_hourly,cdd_22,1045,19.613363363363366
gold_weather_hourly,heavy_rain_flag,0,0.0
gold_weather_hourly,strong_wind_flag,0,0.0
silver_production,datahora,0,0.0
silver_production,dia,0,0.0
silver_production,mes,0,0.0
silver_production,ano,0,0.0
silver_production,date,0,0.0
silver_production,time,0,0.0
silver_production,dgm,0,0.0
silver_production,pre,0,0.0
silver_production,total,0,0.0
silver_production,datetime,0,0.0
