feature,importance
total_lag_1,0.8544386746237027
hour,0.06835872637975897
total_lag_168,0.035706074443336525
total_lag_24,0.031619519821776736
total_rollmean_24,0.004303898904391875
total_rollmean_168,0.0022619335073226056
dayofweek,0.002205035680812115
is_weekend,0.0006948477558295052
month,0.00041128888306880953
