datetime,total,iqr_outlier,zscore_outlier,isolation_forest_outlier,any_outlier
2025-01-01 04:00:00+00:00,1123952.20770525,False,False,True,True
2025-01-01 05:00:00+00:00,1090721.1370375,False,False,True,True
2025-01-01 06:00:00+00:00,1081541.9642582498,False,False,True,True
2025-01-01 07:00:00+00:00,1088660.64658825,False,False,True,True
2025-01-01 08:00:00+00:00,1083847.74656425,False,False,True,True
2025-01-01 09:00:00+00:00,1123276.70023375,False,False,True,True
2025-01-01 10:00:00+00:00,1203837.3276532502,False,False,True,True
2025-01-01 11:00:00+00:00,1286689.1404315,False,False,True,True
2025-01-01 12:00:00+00:00,1357329.477832,False,False,True,True
2025-01-01 14:00:00+00:00,1243163.4808965002,False,False,True,True
2025-01-01 15:00:00+00:00,1254216.20838025,False,False,True,True
2025-01-01 16:00:00+00:00,1318207.74816625,False,False,True,True
2025-01-02 02:00:00+00:00,1138361.00502475,False,False,True,True
2025-01-02 03:00:00+00:00,1101539.1023355,False,False,True,True
2025-01-02 04:00:00+00:00,1086463.881284,False,False,True,True
2025-01-02 05:00:00+00:00,1106839.837675,False,False,True,True
2025-01-02 06:00:00+00:00,1192464.78714525,False,False,True,True
2025-03-30 01:00:00+00:00,583454.75915075,True,True,True,True
2025-03-30 02:00:00+00:00,1108052.2730275001,False,False,True,True
2025-03-30 03:00:00+00:00,1075784.51187875,False,False,True,True
2025-03-30 04:00:00+00:00,1060979.0668657501,False,False,True,True
2025-03-30 05:00:00+00:00,1082735.5550527498,False,False,True,True
2025-03-30 06:00:00+00:00,1088192.0027592499,False,False,True,True
2025-03-30 07:00:00+00:00,1104282.70427625,False,False,True,True
2025-03-30 08:00:00+00:00,1128388.85870175,False,False,True,True
2025-03-30 09:00:00+00:00,1166987.3094795,False,False,True,True
2025-03-30 13:00:00+00:00,1082563.89549475,False,False,True,True
2025-03-30 14:00:00+00:00,1038356.40371025,False,False,True,True
2025-03-30 15:00:00+00:00,1027736.09506575,False,False,True,True
2025-03-30 16:00:00+00:00,1079890.47382975,False,False,True,True
2025-03-30 17:00:00+00:00,1190248.3106267499,False,False,True,True
2025-03-30 18:00:00+00:00,1345432.50653375,False,False,True,True
2025-03-30 19:00:00+00:00,1520349.5457795002,False,False,True,True
2025-03-30 20:00:00+00:00,1572931.076177,False,False,True,True
2025-03-30 21:00:00+00:00,1483944.07436775,False,False,True,True
2025-03-30 22:00:00+00:00,1359233.14775175,False,False,True,True
2025-03-30 23:00:00+00:00,1254702.4510065,False,False,True,True
2025-03-31 00:00:00+00:00,1174141.09160325,False,False,True,True
2025-03-31 01:00:00+00:00,1122979.89699775,False,False,True,True
2025-03-31 02:00:00+00:00,1095019.5135569999,False,False,True,True
2025-03-31 03:00:00+00:00,1081881.1914347499,False,False,True,True
2025-03-31 04:00:00+00:00,1105577.7220785,False,False,True,True
2025-03-31 05:00:00+00:00,1211041.5707965,False,False,True,True
2025-03-31 06:00:00+00:00,1383270.6058625001,False,False,True,True
